url,name,adaptive_support,description,duration,remote_support,test_type
https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New),Yes,Multiple-choice test that measures the knowledge of processing receivables and invoices.,13,Yes,K
https://www.shl.com/products/product-catalog/view/net-wcf-new/,.NET WCF (New),Yes,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11,Yes,K
https://www.shl.com/products/product-catalog/view/net-mvc-new/,.NET MVC (New),Yes,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17,Yes,K
https://www.shl.com/products/product-catalog/view/net-mvvm-new/,.NET MVVM (New),Yes,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5,Yes,K
https://www.shl.com/products/product-catalog/view/net-xaml-new/,.NET XAML (New),Yes,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5,Yes,K
https://www.shl.com/products/product-catalog/view/net-wpf-new/,.NET WPF (New),Yes,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9,Yes,K
https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Accounts Payable (New),Yes,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9,Yes,K
https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Global Skills Development Report,Yes,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",0,Yes,"A, E, B, C, D, P"
https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New),Yes,Simulated data entry test that measures the ability to process payables and vendor invoices.,8,Yes,S
https://www.shl.com/products/product-catalog/view/net-framework-4-5/,.NET Framework 4.5,Yes,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30,Yes,K
https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New),Yes,Simulated data entry test that measures the ability to process receivables and invoices.,8,Yes,S
https://www.shl.com/products/product-catalog/view/ado-net-new/,ADO.NET (New),Yes,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10,Yes,K
https://www.shl.com/products/product-catalog/view/agile-software-development/,Agile Software Development,Yes,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7,Yes,K
https://www.shl.com/products/product-catalog/view/android-development-new/,Android Development (New),Yes,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7,Yes,K
https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Adobe Photoshop CC,Yes,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20,Yes,K
https://www.shl.com/products/product-catalog/view/angular-6-new/,Angular 6 (New),Yes,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11,Yes,K
https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills,Yes,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16,Yes,P
https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Adobe Experience Manager (New),Yes,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17,Yes,K
https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Aerospace Engineering (New),Yes,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10,Yes,K
https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Aeronautical Engineering (New),Yes,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10,Yes,K
https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Amazon Web Services (AWS) Development (New),Yes,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6,Yes,K
https://www.shl.com/products/product-catalog/view/agile-testing-new/,Agile Testing (New),Yes,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13,Yes,K
https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Apache Hadoop (New),Yes,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7,Yes,K
https://www.shl.com/products/product-catalog/view/angularjs-new/,AngularJS (New),Yes,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9,Yes,K
https://www.shl.com/products/product-catalog/view/apache-pig-new/,Apache Pig (New),Yes,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6,Yes,K
https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Apache HBase (New),Yes,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5,Yes,K
https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Apache Hadoop Extensions (New),Yes,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9,Yes,K
https://www.shl.com/products/product-catalog/view/automata-fix-new/,Automata - Fix (New),Yes,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",20,Yes,S
https://www.shl.com/products/product-catalog/view/apache-hive-new/,Apache Hive (New),Yes,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5,Yes,K
https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Apache Kafka (New),Yes,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6,Yes,K
https://www.shl.com/products/product-catalog/view/asp-net-4-5/,ASP.NET 4.5,Yes,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30,Yes,K
